source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Garcin et al., 2012",Ladd,MANE,5.03,9.83,1911,-36.60037978,,,29,-184.83,
"Goldsmith et al., 2019",Ladd,Beit Dagan,31.96735,34.90578,50,-19.49291137,,,29,-143,
"Goldsmith et al., 2019",Ladd,Haifa,32.79204,34.97167,102,-21.18987319,,,29,-140,
"Goldsmith et al., 2019",Ladd,Michmanim,32.88376,35.38066,157,-25.0968886,,,29,-157,
"Goldsmith et al., 2019",Ladd,Alon,31.80058,35.33009,290,-22.32261622,,,29,-142,
"Goldsmith et al., 2019",Ladd,Beer Sheva,31.24406,34.89974,353,-21.50985936,,,29,-142,
"Goldsmith et al., 2019",Ladd,Soreq,31.75327,35.02987,400,-24.80081936,,,29,-149,
"Goldsmith et al., 2019",Ladd,Arad,31.23727,35.21481,558,-22.58181337,,,29,-146,
"Goldsmith et al., 2019",Ladd,Peki'in,32.98272,35.3158,650,-30.15367082,,,29,-145,
"Goldsmith et al., 2019",Ladd,Jerusalem,31.7857,35.17076,815,-28.82531605,,,29,-142,
"Goldsmith et al., 2019",Ladd,Mitzpe ramon,30.6199,34.7867,828,-24.95636271,,,29,-116,
"Goldsmith et al., 2019",Ladd,Har Canaan,33.02356,35.49748,858,-29.10968503,,,29,-151,
"Goldsmith et al., 2019",Ladd,Hermon,33.27398,35.75821,1337,-42.711369,,,29,-155,
Guenther et al 2013,McFarlin,TRC,30.75,86.38,4549,-112,6,2018,29,-211.2,8.8
Guenther et al 2013,McFarlin,TC,31.05,83.92,4570,-103,3,2018,29,-219.1,6.6
Guenther et al 2013,McFarlin,NC,30.5,90.6,4718,-139,4,2018,29,-221.4,12.7
Guenther et al 2013,McFarlin,KYC,30.6,82.05,4798,-109,10,2018,29,-238.7,9.7
Guenther et al 2013,McFarlin,LMC,34.58,80.35,5030,-97,19,2018,29,-209.2,4.6
Guenther et al 2013,McFarlin,SXC,34.58,80.2,5070,-98,19,2018,29,-196.5,10.8
"Herrmann et al., 2017",Liu,YRZ,-33.51,20.35,,-23,,,29,-110,
"Herrmann et al., 2017",Liu,WRZ,-32.87,18.39,,-15,,,29,-131,
"Herrmann et al., 2017",Liu,WRZ,-32.86,18.53,,-17,,,29,-130,
"Herrmann et al., 2017",Liu,WRZ,-32.86,18.53,,-18,,,29,-132,
"Herrmann et al., 2017",Liu,WRZ,-32.79,19.22,,-18,,,29,-137,
"Herrmann et al., 2017",Liu,WRZ,-32.79,19.22,,-18,,,29,-121,
"Herrmann et al., 2017",Liu,WRZ,-32.72,18.25,,-13,,,29,-131,
"Herrmann et al., 2017",Liu,WRZ,-32.72,18.25,,-13,,,29,-146,
"Herrmann et al., 2017",Liu,YRZ,-32.33,20.34,,-25,,,29,-103,
"Herrmann et al., 2017",Liu,WRZ,-32.3,19.14,,-22,,,29,-141,
"Herrmann et al., 2017",Liu,WRZ,-32.22,18.22,,-14,,,29,-138,
"Herrmann et al., 2017",Liu,WRZ,-32.22,18.22,,-13,,,29,-141,
"Herrmann et al., 2017",Liu,YRZ,-32.21,20.39,,-26,,,29,-123,
"Herrmann et al., 2017",Liu,YRZ,-32.21,20.39,,-26,,,29,-136,
"Herrmann et al., 2017",Liu,WRZ,-32.18,18.24,,-12,,,29,-130,
"Herrmann et al., 2017",Liu,WRZ,-32.13,18.6,,-20,,,29,-134,
"Herrmann et al., 2017",Liu,WRZ,-32.13,18.6,,-20,,,29,-126,
"Herrmann et al., 2017",Liu,WRZ,-32.13,19.05,,-20,,,29,-132,
"Herrmann et al., 2017",Liu,WRZ,-31.56,19.89,,-16,,,29,-124,
"Herrmann et al., 2017",Liu,WRZ,-31.34,18.32,,-11,,,29,-124,
"Herrmann et al., 2017",Liu,WRZ,-31.34,18.32,,-11,,,29,-119,
"Herrmann et al., 2017",Liu,WRZ,-31.28,19.5,,-20,,,29,-131,
"Herrmann et al., 2017",Liu,WRZ,-31.26,18.36,,-10,,,29,-112,
"Herrmann et al., 2017",Liu,WRZ,-31.26,18.42,,-11,,,29,-108,
"Herrmann et al., 2017",Liu,WRZ,-31.23,19.17,,-17,,,29,-113,
"Herrmann et al., 2017",Liu,WRZ,-31.23,19.17,,-16,,,29,-104,
