source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
"Feng et al., 2019",Ladd,JH3,26.555,99.968,2412.0,-83.49885263,,,29,-210.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH4,26.56,99.975,2505.0,-84.09134305,,,29,-210.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ3,26.64,99.85,2509.0,-86.49041781,,,29,-214.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH5,26.558,99.982,2600.0,-84.75390737,,,29,-206.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ4,26.635,99.836,2615.0,-87.32545894,,,29,-214.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH6,26.54,99.992,2701.0,-86.00246992,,,29,-209.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ6,26.643,99.821,2800.0,-88.10394643,,,29,-213.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH8,26.547,100.0,2901.0,-86.63155468,,,29,-221.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH9,26.537,100.003,3007.0,-87.17789898,,,29,-218.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ8,26.654,99.805,3011.0,-88.48044349,,,29,-216.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ9,26.658,99.794,3125.0,-88.68375622,,,29,-207.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ10,26.659,99.788,3224.0,-89.07249616,,,29,-242.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ11,26.658,99.783,3303.0,-89.65413298,,,29,-237.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ12,26.655,99.779,3403.0,-90.27554597,,,29,-239.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ13,26.648,99.776,3504.0,-91.08674407,,,29,-226.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ14,26.637,99.752,3608.0,-94.63215983,,,29,-242.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ15,26.648,99.74,3789.0,-95.01479408,,,29,-242.0,,original,,,,,,
"Feng et al., 2019",Ladd,TCS2017,26.631,99.718,3886.0,-99.17123059,,,29,-220.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ17,26.628,99.722,3918.0,-98.99984446,,,29,-217.0,,original,,,,,,
Freimuth et al 2019a,McFarlin,BLB,40.68,-82.06,291.0,-50.0,2.0,2019.0,29,-176.0,3.0,original,,,,,,
Freimuth et al 2019b,McFarlin,Sucker,44.18,-75.12,426.0,-74.0,1.0,2019.0,29,-197.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Chazy,44.73,-73.82,466.0,-76.0,1.0,2019.0,29,-188.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Raquette,44.23,-74.47,470.0,-74.0,1.0,2019.0,29,-186.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Moose,44.37,-74.06,475.0,-74.0,1.0,2019.0,29,-190.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Debar,44.62,-74.19,483.0,-76.0,1.0,2019.0,29,-196.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,East Pine,44.34,-74.41,513.0,-75.0,1.0,2019.0,29,-193.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Little Green,44.36,-74.3,521.0,-75.0,1.0,2019.0,29,-190.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Hope,44.51,-74.13,523.0,-76.0,1.0,2019.0,29,-190.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Horseshoe,44.14,-74.62,524.0,-74.0,1.0,2019.0,29,-188.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Quiver,43.74,-74.87,539.0,-72.0,1.0,2019.0,29,-179.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Wolf,44.02,-74.22,558.0,-73.0,1.0,2019.0,29,-179.0,,original,,,,,,
Freimuth et al 2019b,McFarlin,Heart,44.18,-73.97,665.0,-75.0,1.0,2019.0,29,-186.0,,original,,,,,,
Garcin et al 2012,McFarlin,OSSA,3.77,10.0,17.0,-14.0,1.0,2018.0,29,-147.0,4.0,original,,,,,,
Garcin et al 2012,McFarlin,DEBU,4.1,8.98,70.0,-14.0,0.0,2018.0,29,-153.0,5.0,original,,,,,,
Garcin et al 2012,McFarlin,BARO,4.65,9.41,304.0,-17.0,3.0,2018.0,29,-164.0,1.0,original,,,,,,
Garcin et al 2012,McFarlin,MAMG,8.39,13.71,322.0,-22.0,10.0,2018.0,29,-156.0,8.0,original,,,,,,
Garcin et al 2012,McFarlin,MORA,11.05,14.15,438.0,-23.0,3.0,2018.0,29,-170.0,3.0,original,,,,,,
Garcin et al 2012,McFarlin,ASSO,6.62,12.98,896.0,-22.0,8.0,2018.0,29,-154.0,3.0,original,,,,,,
Garcin et al 2012,McFarlin,RHUM,10.51,13.58,1028.0,-33.0,5.0,2018.0,29,-167.0,3.0,original,,,,,,
Garcin et al 2012,McFarlin,TIZO,7.25,13.58,1155.0,-27.0,4.0,2018.0,29,-155.0,1.0,original,,,,,,
Garcin et al 2012,McFarlin,TABE,7.13,13.69,1161.0,-26.0,5.0,2018.0,29,-167.0,1.0,original,,,,,,
Garcin et al 2012,McFarlin,BALE,5.55,10.42,1376.0,-32.0,9.0,2018.0,29,-150.0,1.0,original,,,,,,
Garcin et al 2012,McFarlin,MANE,5.04,9.83,1911.0,-41.0,10.0,2018.0,29,-185.0,4.0,original,,,,,,
"Garcin et al., 2012",Ladd,MANE,5.03,9.83,1911.0,-36.60037978,,,29,-184.83,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Beit Dagan,31.96735,34.90578,50.0,-19.49291137,,,29,-143.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Haifa,32.79204,34.97167,102.0,-21.18987319,,,29,-140.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Michmanim,32.88376,35.38066,157.0,-25.0968886,,,29,-157.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Alon,31.80058,35.33009,290.0,-22.32261622,,,29,-142.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Beer Sheva,31.24406,34.89974,353.0,-21.50985936,,,29,-142.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Soreq,31.75327,35.02987,400.0,-24.80081936,,,29,-149.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Arad,31.23727,35.21481,558.0,-22.58181337,,,29,-146.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Peki'in,32.98272,35.3158,650.0,-30.15367082,,,29,-145.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Jerusalem,31.7857,35.17076,815.0,-28.82531605,,,29,-142.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Mitzpe ramon,30.6199,34.7867,828.0,-24.95636271,,,29,-116.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Har Canaan,33.02356,35.49748,858.0,-29.10968503,,,29,-151.0,,original,,,,,,
"Goldsmith et al., 2019",Ladd,Hermon,33.27398,35.75821,1337.0,-42.711369,,,29,-155.0,,original,,,,,,
Guenther et al 2013,McFarlin,TRC,30.75,86.38,4549.0,-112.0,6.0,2018.0,29,-211.2,8.8,original,,,,,,
Guenther et al 2013,McFarlin,TC,31.05,83.92,4570.0,-103.0,3.0,2018.0,29,-219.1,6.6,original,,,,,,
Guenther et al 2013,McFarlin,NC,30.5,90.6,4718.0,-139.0,4.0,2018.0,29,-221.4,12.7,original,,,,,,
Guenther et al 2013,McFarlin,KYC,30.6,82.05,4798.0,-109.0,10.0,2018.0,29,-238.7,9.7,original,,,,,,
Guenther et al 2013,McFarlin,LMC,34.58,80.35,5030.0,-97.0,19.0,2018.0,29,-209.2,4.6,original,,,,,,
Guenther et al 2013,McFarlin,SXC,34.58,80.2,5070.0,-98.0,19.0,2018.0,29,-196.5,10.8,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-33.51,20.35,,-23.0,,,29,-110.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.87,18.39,,-15.0,,,29,-131.0,,original,,,,,,
