Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Douglas et al 2012,McFarlin,Yaxha,17.07,-89.41,130.0,-142.9,3.0,Soil,,,-25.0,7.0,-120.9,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Cuerpo Uno [e],17.49,-90.39,115.0,-147.9,1.0,Soil,,,-26.0,8.0,-125.2,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,La Corona [e],17.52,-90.37,151.0,-148.0,1.0,Soil,,,-26.0,8.0,-125.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Chichancanab,19.88,-88.77,10.0,-128.5,2.0,Soil,,,-20.0,8.0,-110.7,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Hobonil,20.0,-89.03,44.0,-126.5,1.0,Soil,,,-21.0,8.0,-107.8,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Cepeda Peraza,20.16,-89.24,50.0,-136.7,1.0,Soil,,,-21.0,8.0,-118.2,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Ticul,20.35,-89.5,10.0,-143.0,1.0,Soil,,,-20.0,8.0,-125.5,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Canana,20.49,-89.17,13.0,-137.7,1.0,Soil,,,-18.0,5.0,-121.9,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Yaalchak [e],20.6,-89.71,6.0,-142.9,1.0,Soil,,,-20.0,7.0,-125.4,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Xoche [e],20.66,-89.37,16.0,-153.0,1.0,Soil,,,-18.0,5.0,-137.5,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Dzitya,21.07,-89.69,5.0,-128.5,1.0,Soil,,,-18.0,4.0,-112.5,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JS13,26.4786,100.4194,1246.0,-202.0,,Soil,,,-73.08368901,,-139.1,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JS2,26.487,100.323,2290.0,-203.0,,Soil,,,-79.00912049,,-134.6,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JS7,26.489,100.353,1794.0,-177.0,,Soil,,,-76.81151062,,-108.5,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JH1,26.54,99.958,2263.0,-205.0,,Soil,,,-82.67067436,,-133.4,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JH6,26.54,99.992,2701.0,-209.0,,Soil,,,-86.00246992,,-134.6,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,JH3,26.555,99.968,2412.0,-210.0,,Soil,,,-83.49885263,,-138.0,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,LJ4,26.635,99.836,2615.0,-214.0,,Soil,,,-87.32545894,,-138.8,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,LJ14,26.637,99.752,3608.0,-242.0,,Soil,,,-94.63215983,,-162.8,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,LJ3,26.64,99.85,2509.0,-214.0,,Soil,,,-86.49041781,,-139.6,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,LJ11,26.658,99.783,3303.0,-237.0,,Soil,,,-89.65413298,,-161.9,,,,,,,User compilation,OK
"Feng et al., 2019",Ladd,LJ10,26.659,99.788,3224.0,-242.0,,Soil,,,-89.07249616,,-167.9,,,,,,,User compilation,OK
Freimuth et al. 2019,Manual extraction,"Adirondack lakes, NY, USA (12-lake mean)",44.0,-74.5,,-188.0,6.0,Lake sediment,Mixed temperate forest,Temperate forest,,,-123.0,,,Temperate deciduous/mixed forest,Mean of 12 lakes; range -179 to -197,10.1016/j.gca.2019.08.026,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
