Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"J8, Asia",28.4,84.26,3930.0,-209.4,,Sediment/soil,Mixed vegetation,Mixed,-104.0,,-117.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK18, Asia",30.1,79.44,1176.0,-157.2,,Sediment/soil,Mixed vegetation,Mixed,-56.0,,-107.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK20, Asia",30.14,79.37,1175.0,-166.9,,Sediment/soil,Mixed vegetation,Mixed,-56.0,,-117.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK8, Asia",30.24,78.86,635.0,-167.1,,Sediment/soil,Mixed vegetation,Mixed,-49.0,,-124.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK22, Asia",30.29,79.5,1635.0,-150.8,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-94.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK25, Asia",30.31,79.32,927.0,-127.1,,Sediment/soil,Mixed vegetation,Mixed,-51.0,,-80.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK29, Asia",30.62,79.82,2628.0,-173.2,,Sediment/soil,Mixed vegetation,Mixed,-76.0,,-105.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK28, Asia",30.69,79.89,2897.0,-228.0,,Sediment/soil,Mixed vegetation,Mixed,-80.0,,-160.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AK32/33, Asia",30.77,79.49,3155.0,-175.9,,Sediment/soil,Mixed vegetation,Mixed,-83.0,,-101.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S5, Asia",31.36,77.38,729.0,-140.8,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-98.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S127 sp1, Asia",31.39,76.88,475.0,-147.4,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-109.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S9, Asia",31.4,77.64,937.0,-157.6,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-113.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S55, Asia",31.4,78.35,3120.0,-156.1,,Sediment/soil,Mixed vegetation,Mixed,-83.0,,-79.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S60, Asia",31.43,78.28,2770.0,-174.6,,Sediment/soil,Mixed vegetation,Mixed,-78.0,,-104.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S14, Asia",31.45,77.55,1170.0,-179.0,,Sediment/soil,Mixed vegetation,Mixed,-54.0,,-132.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S26, Asia",31.51,77.76,1238.0,-140.6,,Sediment/soil,Mixed vegetation,Mixed,-55.0,,-90.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S22, Asia",31.52,77.7,1228.0,-163.8,,Sediment/soil,Mixed vegetation,Mixed,-55.0,,-115.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (van der Veen et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S41, Asia",31.55,77.91,1521.0,-157.2,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-104.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
Ladd et al. 2021,Manual extraction,"Lake Hut, Grande Terre, New Caledonia",-22.2609,166.9526,,-161.0,2.0,Lake sediment,Mixed tropical,Tropical vegetation,-15.0,,-148.2,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Emaotul Lake, Efate, Vanuatu",-17.7342,168.4151,,-152.0,9.0,Lake sediment,Mixed tropical,Tropical vegetation,-36.0,,-120.3,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Otas Lake, Efate, Vanuatu",-17.6945,168.585,,-154.0,,Lake sediment,Mixed tropical,Tropical vegetation,-34.0,,-124.2,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Onetahi Pond, Tetiaroa, French Polynesia",-17.0207,-149.5919,,-139.0,,Lake sediment,Mixed tropical,Tropical vegetation,-25.0,,-116.9,,,Tropical island,>50% vegetation cover,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Nopovois Pond, Espiritu Santo, Vanuatu",-15.497,166.7357,,-154.0,,Lake sediment,Mixed tropical,Tropical vegetation,-40.0,,-118.8,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Vesalea Pond, Espiritu Santo, Vanuatu",-15.1589,166.6549,,-157.0,,Lake sediment,Mixed tropical,Tropical vegetation,-40.0,,-121.9,,,Tropical island,>50% vegetation cover,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"White Lake, Thion, Vanuatu",-15.041,167.0892,,-174.0,,Lake sediment,Mixed tropical,Tropical vegetation,-35.0,,-144.0,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Lake Lanoto'o, Upolu, Samoa",-13.9109,-171.8274,,-159.0,,Lake sediment,Mixed tropical,Tropical vegetation,-34.0,,-129.4,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Lake Tavara, Tetepare, Solomon Islands",-8.7029,157.4503,,-162.0,,Lake sediment,Mixed tropical,Tropical vegetation,-46.0,,-121.6,,,Tropical island,,10.1029/2020JG005891,Manual extraction,Both,Missing: elevation
Ladd et al. 2021,Manual extraction,"Sapwalap Swamp, Pohnpei, Micronesia",6.88,158.3,0.0,-150.0,5.0,Swamp sediment,Mangrove,Aquatic/mangrove,-33.0,,-121.0,,,Mangrove swamp,,10.1029/2020JG005891,Manual extraction,Both,OK
Ladd et al. 2021,Manual extraction,"Tol Swamp, Chuuk, Micronesia",7.35,150.6,,-153.0,5.0,Swamp sediment,Mangrove,Aquatic/mangrove,-32.0,,-125.0,,,Mangrove swamp,,10.1029/2020JG005891,Manual extraction,Computer v6,Missing: elevation
"Leider et al., 2013",Liu,Porto Cesareo,40.24,17.91,0.0,-134.0,,Marine surface sediment,,,-33.0,,-104.4,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Cervaro river,41.57,15.89,0.0,-175.0,,Marine surface sediment,,,-35.0,,-145.1,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Manfredonia Lido,41.62,15.9,0.0,-159.0,,Marine surface sediment,,,-35.0,,-128.5,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Vomano river,42.65,13.99,15.0,-152.0,,Marine surface sediment,,,-38.0,,-118.5,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Potenza river,43.42,13.65,0.0,-164.0,,Marine surface sediment,,,-39.0,,-130.1,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Foflia river,43.87,12.81,25.0,-167.0,,Marine surface sediment,,,-41.0,,-131.4,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Reno river,44.55,12.14,2.0,-172.0,,Marine surface sediment,,,-42.0,,-135.7,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Po di Goro,44.84,12.34,0.0,-182.0,,Marine surface sediment,,,-43.0,,-145.2,,,,,,,User compilation,OK
"Leider et al., 2013",Liu,Po della Donzella,44.84,12.38,0.0,-170.0,,Marine surface sediment,,,-43.0,,-132.7,,,,,,,User compilation,OK
"Li et al., 2019",Ladd,N01,35.87908333,109.4126667,1106.0,-191.199,,Soil,,,-63.78562589,,-136.1,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,CB-50,42.05,127.685,882.0,-190.0,,Lake sediment,,,-66.60176672,,-132.2,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,FS-01,42.228,127.403,701.0,-196.0,,Lake sediment,,,-63.8964936,,-141.1,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,JY-04,42.418,126.676,592.0,-194.0,,Lake sediment,,,-62.62232344,,-140.2,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,ET-02,43.64,112.298,969.0,-177.0,,Lake sediment,,,-67.25821614,,-117.7,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,XM-02,43.676,116.643,1181.0,-188.0,,Lake sediment,,,-80.46404627,,-116.9,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,SNQ-01,43.843,113.789,1162.0,-183.0,,Lake sediment,,,-74.60947591,,-117.1,,,,,,,User compilation,OK
"Lu et al., 2020",Ladd,ABQ-05,43.989,114.843,1122.0,-172.0,,Lake sediment,,,-77.6292877,,-102.3,,,,,,,User compilation,OK
McFarlin et al 2019,McFarlin,TUP,60.38,-44.3,145.0,-215.0,3.8,Lake sediment,,,-89.0,2.0,-138.3,,,,,,,User compilation,OK
McFarlin et al 2019,McFarlin,T3,63.75,-51.35,30.0,-215.5,3.9,Lake sediment,,,-106.0,7.0,-122.5,,,,,,,User compilation,OK
McFarlin et al 2019,McFarlin,RTL4,67.01,-50.67,112.0,-254.9,3.8,Lake sediment,,,-137.0,13.0,-136.6,,,,,,,User compilation,OK
McFarlin et al. 2019,Manual extraction,"LNR, Narsaq area, Greenland",60.38,-44.3,,-203.0,6.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"PIN, Narsaq area, Greenland",60.38,-44.3,,-216.0,6.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"SCP, Narsaq area, Greenland",60.38,-44.3,,-211.0,4.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"PLK, Narsaq area, Greenland",60.38,-44.3,,-206.0,4.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"PIN, Narsaq area, Greenland",60.7,-45.1,480.0,-216.0,6.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-96.0,2.0,-132.7,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"SCP, Narsaq area, Greenland",60.7,-45.42,475.0,-211.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-96.0,2.0,-127.2,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"TUP, Narsaq area, Greenland",60.87,-45.72,,-215.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"PLK, Narsaq area, Greenland",60.87,-45.72,,-206.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"LNR, Narsaq area, Greenland",60.87,-45.72,751.0,-203.0,6.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-101.0,3.0,-113.5,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"NAR, Narsaq area, Greenland",60.87,-45.72,766.0,-210.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-101.0,3.0,-121.2,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"T1, Nuuk area, Greenland",63.76,-51.36,75.0,-203.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-107.0,7.0,-107.5,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"T2, Nuuk area, Greenland",63.76,-51.37,57.0,-218.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-106.0,7.0,-125.3,,,Sub-Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,Manual extraction,"T1, Nuuk area, Greenland",64.0,-51.5,,-203.0,4.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"T2, Nuuk area, Greenland",64.0,-51.5,,-218.0,4.0,Lake sediment,Sub-Arctic vegetation,Tundra/Sub-Arctic,,,,,,Sub-Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"RTL3, Kangerlussuaq, Greenland",67.0,-51.0,,-232.0,6.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"RTL2, Kangerlussuaq, Greenland",67.0,-51.0,,-224.0,6.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"LSL, Kangerlussuaq, Greenland",67.0,-51.0,,-237.0,5.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"SHL, Kangerlussuaq, Greenland",67.0,-51.0,,-251.0,4.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"USHL, Kangerlussuaq, Greenland",67.0,-51.0,,-257.0,4.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"RTL1, Kangerlussuaq, Greenland",67.0,-51.0,,-240.0,4.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"SEC, Kangerlussuaq, Greenland",67.0,-51.0,,-246.0,4.0,Lake sediment,Arctic tundra,Tundra,,,,,,Low Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"LSL, Kangerlussuaq, Greenland",67.05,-50.52,124.0,-237.0,5.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-139.0,13.0,-113.8,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"RTL3, Kangerlussuaq, Greenland",67.06,-50.45,170.0,-232.0,6.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-140.0,13.0,-107.0,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"RTL1, Kangerlussuaq, Greenland",67.15,-50.08,443.0,-240.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-148.0,11.0,-108.0,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"SHL, Kangerlussuaq, Greenland",67.15,-50.13,335.0,-251.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-146.0,11.0,-123.0,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"USHL, Kangerlussuaq, Greenland",67.15,-50.13,340.0,-257.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-147.0,11.0,-129.0,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"SEC, Kangerlussuaq area, Greenland",76.58,-68.66,248.0,-246.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-181.0,1.0,-79.4,,,Low Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"Sioraq (STR), Thule area, Greenland",76.67,-67.94,224.0,-248.0,6.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-181.0,1.0,-81.8,,,High Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"NS1, Thule area, Greenland",76.82,-67.05,455.0,-235.0,4.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-186.0,2.0,-60.2,,,High Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,NOTE: ε outside typical range (-60‰)
McFarlin et al. 2019,Manual extraction,"WLL (Wax Lips Lake), Thule, Greenland",76.85,-68.66,,-264.0,7.0,Lake sediment,Arctic tundra,Tundra,,,,,,High Arctic,Most depleted in transect,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,Manual extraction,"STR, Thule area, Greenland",76.85,-68.66,,-248.0,6.0,Lake sediment,Arctic tundra,Tundra,,,,,,High Arctic,,10.1016/j.quascirev.2019.105978,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
McFarlin et al. 2019,NOAA WDS Paleoclimatology: study 27790,"Wax Lips Lake (WLL), Thule area, Greenland",76.85,-66.96,517.0,-264.0,7.0,Lake sediment,Arctic/sub-Arctic vegetation,Tundra/Sub-Arctic,-187.0,2.0,-94.7,,,High Arctic,From NOAA WDS Paleoclimatology study 27790,10.1016/j.quascirev.2019.105978,NOAA WDS Paleoclimatology: study 27790,Both,OK
Mugler et al 2008,McFarlin,Tibet_ave (NC),30.64,90.6,4718.0,-246.0,36.4,Lake sediment,,,-139.0,4.0,-124.3,,,,,,,User compilation,OK
Mugler et al 2008,McFarlin,HZM,50.12,6.88,425.0,-198.0,1.0,Lake sediment,,,-56.0,2.0,-150.4,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-259.0,,Soil,,,-164.0,,-113.6,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-241.0,,Soil,,,-164.0,,-92.1,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-260.0,,Soil,,,-164.0,,-114.8,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-285.0,,Soil,,,-163.0,,-145.8,,,,,,,User compilation,REVIEW: δ²H very depleted (-285.0‰)
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-269.0,,Soil,,,-163.0,,-126.6,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-274.0,,Soil,,,-163.0,,-132.6,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-275.0,,Soil,,,-163.0,,-133.8,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-259.0,,Soil,,,-163.0,,-114.7,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-278.0,,Soil,,,-163.0,,-137.4,,,,,,,User compilation,REVIEW: δ²H very depleted (-278.0‰)
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-274.0,,Soil,,,-163.0,,-132.6,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-246.0,,Soil,,,-163.0,,-99.2,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-261.0,,Soil,,,-163.0,,-117.1,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-257.0,,Soil,,,-163.0,,-112.3,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-262.0,,Soil,,,-163.0,,-118.3,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-266.0,,Soil,,,-163.0,,-123.1,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-263.0,,Soil,,,-163.0,,-119.5,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-265.0,,Soil,,,-163.0,,-121.9,,,,,,,User compilation,OK
