row_index,cluster_id,action,source,location,latitude,longitude,d2H_wax,d2H_wax_err,data_source
558,48,REMOVE,Polissar and Freeman 2010,"Laguna Royal ""C""",8.72,-70.87,-194.0,,original
590,49,KEEP,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-203.0,,original
593,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-211.0,,original
594,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-203.0,,original
595,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-212.0,,original
596,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-208.0,,original
597,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-210.0,,original
599,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-213.0,,original
600,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-213.0,,original
601,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-213.0,,original
602,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-203.0,,original
603,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-205.0,,original
604,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-203.0,,original
606,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-207.0,,original
610,49,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-208.0,,original
591,50,KEEP,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-198.0,,original
607,50,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-199.0,,original
592,51,KEEP,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-195.0,,original
598,51,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-195.0,,original
608,52,KEEP,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-216.0,,original
609,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-224.0,,original
611,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-218.0,,original
612,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-222.0,,original
613,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-217.0,,original
614,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-225.0,,original
615,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-220.0,,original
616,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-221.0,,original
617,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-222.0,,original
618,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-227.0,,original
621,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-219.0,,original
622,52,REMOVE,"Seki et al., 2010","Hokkaido, Japan",44.2,142.1,-229.0,,original
