"obs_id","source","compilation","location","DOI","latitude","longitude","elevation","d2H_precip","d2H_precip_err","d2H_wax","d2H_wax_err","archive_class"
"obs_0098","Gaviria-Lugo et al., 2023","","GeoB7214-1_1-2 cm","10.5194/bg-20-4433-2023",-39.875,-74.1672,NA,NA,NA,-155.9,1.6,"marine sediment"
"obs_0099","Gaviria-Lugo et al., 2023","","Rio CalleCalle","10.5194/bg-20-4433-2023",-39.7902,-73.1749,NA,-63.5,1,-170,2.3,"fluvial sediment"
"obs_0100","Gaviria-Lugo et al., 2023","","CalleCalle","10.5194/bg-20-4433-2023",-39.7885,-72.9681,NA,-55,0.4,-160.8,1.9,"soil"
"obs_0101","Gaviria-Lugo et al., 2023","","GeoB7212-1_1-2 cm","10.5194/bg-20-4433-2023",-39.7,-74.38,NA,NA,NA,-153.8,2.9,"marine sediment"
"obs_0102","Gaviria-Lugo et al., 2023","","Rio Cruces","10.5194/bg-20-4433-2023",-39.5493,-72.8419,NA,-57.3,0.5,-160.4,6.1,"fluvial sediment"
"obs_0103","Gaviria-Lugo et al., 2023","","Rio Tolten","10.5194/bg-20-4433-2023",-39.0747,-73.1397,NA,-61.8,1.2,-179.1,0.2,"fluvial sediment"
"obs_0104","Gaviria-Lugo et al., 2023","","GeoB7207-1_1-2 cm","10.5194/bg-20-4433-2023",-39.07,-74.37,NA,NA,NA,-166.3,4.1,"marine sediment"
"obs_0105","Gaviria-Lugo et al., 2023","","GeoB7209-2_1-2 cm","10.5194/bg-20-4433-2023",-38.9913,-74.1642,NA,NA,NA,-161.5,5.9,"marine sediment"
"obs_0106","Gaviria-Lugo et al., 2023","","Rio Imperial","10.5194/bg-20-4433-2023",-38.7287,-73.1267,NA,-54.5,0.9,-163.4,1.4,"fluvial sediment"
"obs_0107","Gaviria-Lugo et al., 2023","","GeoB7198-1_1-2 cm","10.5194/bg-20-4433-2023",-38.17,-74.39,NA,NA,NA,-150.6,2.6,"marine sediment"
"obs_0108","Gaviria-Lugo et al., 2023","","Estero Los Gringos","10.5194/bg-20-4433-2023",-37.8035,-72.9371,NA,-57.4,2.3,-173.6,0.1,"fluvial sediment"
"obs_0109","Gaviria-Lugo et al., 2023","","BioBio B","10.5194/bg-20-4433-2023",-37.3473,-72.885,NA,-38.7,1.4,-164.2,2.2,"soil"
"obs_0110","Gaviria-Lugo et al., 2023","","Rio BioBio","10.5194/bg-20-4433-2023",-37.1131,-72.9647,NA,-54.9,1.7,-158.1,1.8,"fluvial sediment"
"obs_0111","Gaviria-Lugo et al., 2023","","BioBio A","10.5194/bg-20-4433-2023",-37.1126,-72.9619,NA,-34.3,1.4,-178.7,1.3,"soil"
"obs_0112","Gaviria-Lugo et al., 2023","","GeoB7162-4_1-2 cm","10.5194/bg-20-4433-2023",-36.5427,-73.6672,NA,NA,NA,-164.8,0.3,"marine sediment"
"obs_0113","Gaviria-Lugo et al., 2023","","GeoB7167-4_1-2 cm","10.5194/bg-20-4433-2023",-36.45,-73.91,NA,NA,NA,-149.8,2.7,"marine sediment"
"obs_0114","Gaviria-Lugo et al., 2023","","Rio Itata","10.5194/bg-20-4433-2023",-36.3999,-72.7762,NA,-47.3,1.2,-175.4,0.2,"fluvial sediment"
"obs_0115","Gaviria-Lugo et al., 2023","","GeoB7160-4_1-2 cm","10.5194/bg-20-4433-2023",-36.0385,-73.0735,NA,NA,NA,-168,2.2,"marine sediment"
"obs_0116","Gaviria-Lugo et al., 2023","","Rio Chovellen","10.5194/bg-20-4433-2023",-35.9254,-72.623,NA,-42.7,0.9,-158,3,"fluvial sediment"
"obs_0117","Gaviria-Lugo et al., 2023","","GeoB7157-1_1-2 cm","10.5194/bg-20-4433-2023",-35.78,-73.59,NA,NA,NA,-164.2,3.3,"marine sediment"
"obs_0118","Gaviria-Lugo et al., 2023","","Rio Maule","10.5194/bg-20-4433-2023",-35.3882,-72.2978,NA,-51.5,1.8,-155.2,0.7,"fluvial sediment"
"obs_0119","Gaviria-Lugo et al., 2023","","GeoB3355-4_1-2 cm","10.5194/bg-20-4433-2023",-35.2183,-73.1167,NA,NA,NA,-162.8,1.1,"marine sediment"
"obs_0120","Gaviria-Lugo et al., 2023","","GeoB3352-2_1-2 cm","10.5194/bg-20-4433-2023",-35.2167,-73.3167,NA,NA,NA,-166.3,0.5,"marine sediment"
"obs_0121","Gaviria-Lugo et al., 2023","","Rapel","10.5194/bg-20-4433-2023",-34.5693,-71.6361,NA,-44,0.8,-170,0.1,"soil"
"obs_0122","Gaviria-Lugo et al., 2023","","GeoB7152-1_1-2 cm","10.5194/bg-20-4433-2023",-33.8,-72.1102,NA,NA,NA,-167.8,0.4,"marine sediment"
"obs_0123","Gaviria-Lugo et al., 2023","","Rio Maipo","10.5194/bg-20-4433-2023",-33.7738,-71.5272,NA,-63.3,2.8,-167.2,6.8,"fluvial sediment"
"obs_0124","Gaviria-Lugo et al., 2023","","SanAntonio-Maipo","10.5194/bg-20-4433-2023",-33.7736,-71.5246,NA,-44.1,0.6,-182.7,1.1,"soil"
"obs_0125","Gaviria-Lugo et al., 2023","","GeoB3311-2_1-2 cm","10.5194/bg-20-4433-2023",-33.6067,-72.0467,NA,NA,NA,-157.3,4.2,"marine sediment"
"obs_0126","Gaviria-Lugo et al., 2023","","Cajon del Maipo","10.5194/bg-20-4433-2023",-33.5814,-70.3586,NA,-69.7,2.6,-164.7,0.6,"soil"
"obs_0127","Gaviria-Lugo et al., 2023","","GeoB3303-1_1-2 cm","10.5194/bg-20-4433-2023",-33.2067,-72.2,NA,NA,NA,-158,5,"marine sediment"
"obs_0128","Gaviria-Lugo et al., 2023","","Rio Aconcagua","10.5194/bg-20-4433-2023",-32.9196,-71.3959,NA,-65.4,3.2,-168.6,4.5,"fluvial sediment"
"obs_0129","Gaviria-Lugo et al., 2023","","Quebrada La Campana","10.5194/bg-20-4433-2023",-32.9082,-71.0994,NA,-53.4,1.3,-170,1.7,"fluvial sediment"
"obs_0130","Gaviria-Lugo et al., 2023","","GeoB3304-3_1-2 cm","10.5194/bg-20-4433-2023",-32.89,-72.1933,NA,NA,NA,-153.8,2.9,"marine sediment"
"obs_0131","Gaviria-Lugo et al., 2023","","Rio Choapa","10.5194/bg-20-4433-2023",-31.5922,-71.5382,NA,-59.7,2.9,-158.7,2.3,"fluvial sediment"
"obs_0132","Gaviria-Lugo et al., 2023","","GeoB7144-1_1-2 cm","10.5194/bg-20-4433-2023",-31.16,-71.97,NA,NA,NA,-151.9,0.2,"marine sediment"
"obs_0133","Gaviria-Lugo et al., 2023","","Rio Limari","10.5194/bg-20-4433-2023",-30.6585,-71.5072,NA,-59.7,3.4,-165.4,2.8,"fluvial sediment"
