"obs_id","include_in_calibration","exclusion_reason","archive_class","archive_assignment","review_flag"
"obs_0371",TRUE,"","soil","source review",""
"obs_0372",TRUE,"","soil","coordinate heuristic",""
"obs_0373",TRUE,"","soil","source review",""
"obs_0374",TRUE,"","soil","source review",""
"obs_0375",TRUE,"","soil","source review",""
"obs_0376",TRUE,"","soil","source review",""
"obs_0377",TRUE,"","soil","source review",""
"obs_0378",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0379",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0380",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0381",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0382",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0383",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0384",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0385",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0386",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0387",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0388",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0389",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0390",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0391",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0392",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0393",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0394",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0395",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0396",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0397",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0398",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0399",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0400",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0401",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0402",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0403",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0404",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0405",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0406",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0407",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0408",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0409",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0410",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0411",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0412",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0413",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0414",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0415",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0416",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0417",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0418",TRUE,"","soil","source review",""
"obs_0419",TRUE,"","soil","source review",""
"obs_0420",TRUE,"","soil","source review",""
"obs_0421",TRUE,"","soil","source review",""
"obs_0422",TRUE,"","soil","source review",""
"obs_0423",TRUE,"","soil","source review",""
"obs_0424",TRUE,"","soil","source review",""
"obs_0425",TRUE,"","soil","source review",""
"obs_0426",TRUE,"","soil","source review",""
"obs_0427",TRUE,"","soil","source review",""
"obs_0428",TRUE,"","soil","source review",""
"obs_0429",TRUE,"","soil","source review",""
"obs_0430",TRUE,"","soil","source review",""
"obs_0431",TRUE,"","soil","source review",""
"obs_0432",TRUE,"","soil","source review",""
"obs_0433",TRUE,"","soil","source review",""
"obs_0434",TRUE,"","soil","source review",""
"obs_0435",TRUE,"","soil","source review",""
"obs_0436",TRUE,"","soil","source review",""
"obs_0437",TRUE,"","soil","source review",""
"obs_0438",TRUE,"","soil","source review",""
"obs_0439",TRUE,"","soil","source review",""
"obs_0440",TRUE,"","soil","source review",""
"obs_0441",TRUE,"","soil","source review",""
"obs_0442",TRUE,"","soil","source review",""
"obs_0443",TRUE,"","soil","source review",""
"obs_0444",TRUE,"","soil","source review",""
"obs_0445",TRUE,"","soil","source review",""
"obs_0446",TRUE,"","soil","source review",""
"obs_0447",TRUE,"","soil","source review",""
"obs_0448",TRUE,"","soil","source review",""
"obs_0449",TRUE,"","soil","source review",""
"obs_0450",TRUE,"","soil","source review",""
"obs_0451",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0452",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0453",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0454",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0455",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0456",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0457",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0458",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0459",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0460",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0461",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0462",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0463",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0464",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0465",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0466",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0467",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0468",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0469",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0470",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0471",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0472",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0473",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0474",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0475",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0476",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0477",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0478",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0479",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0480",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0481",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0482",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0483",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0484",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0485",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0486",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0487",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0488",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0489",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0490",TRUE,"","soil","source review",""
"obs_0491",TRUE,"","soil","source review",""
"obs_0492",TRUE,"","soil","source review",""
"obs_0493",TRUE,"","soil","source review",""
"obs_0494",TRUE,"","soil","source review",""
"obs_0495",TRUE,"","soil","source review",""
"obs_0496",TRUE,"","soil","source review",""
"obs_0497",TRUE,"","soil","source review",""
"obs_0498",TRUE,"","soil","source review",""
"obs_0499",TRUE,"","soil","source review",""
"obs_0500",TRUE,"","soil","source review",""
"obs_0501",TRUE,"","soil","source review",""
"obs_0502",TRUE,"","soil","source review",""
"obs_0503",TRUE,"","soil","source review",""
"obs_0504",TRUE,"","soil","source review",""
"obs_0505",TRUE,"","soil","source review",""
"obs_0506",TRUE,"","soil","source review",""
"obs_0507",TRUE,"","soil","source review",""
"obs_0508",TRUE,"","soil","source review",""
"obs_0509",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0510",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0511",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0512",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0513",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0514",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0515",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0516",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0517",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0518",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0519",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0520",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0521",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0522",FALSE,"duplicate: non-canonical member of same-DOI re-ingestion set","lake sediment","coordinate heuristic",""
"obs_0523",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0524",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0525",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0526",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0527",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0528",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0529",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0530",TRUE,"","marine sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
