source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
"Gaviria-Lugo et al., 2023",,GeoB3376-2_1-2 cm,-27.4667,-71.3617,,,,,29,-144.7,14.6,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Copiapo,-27.3281,-70.9136,,-62.6,5.0,,29,-148.9,5.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7123-2_1-2 cm,-27.29,-71.05,,,,,29,-150.9,5.0,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Quebrada Pto Flamenco,-26.5626,-70.6589,,-40.2,2.9,,29,-118.7,0.6,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Salado,-26.3366,-70.5699,,-47.8,3.1,,29,-138.8,0.5,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Pan de Azucar,-26.1487,-70.6527,,-50.8,3.2,,29,-126.2,2.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Quebrada Salitrosa,-26.1116,-70.5561,,-29.1,2.6,,29,-89.9,0.6,User compilation,,NOTE: ε outside typical range (-63‰); Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7116-1_1-2 cm,-26.0002,-70.9998,,,,,29,-118.9,2.7,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7118-1_1-2 cm,-25.9997,-70.8092,,,,,29,-108.5,3.5,User compilation,,"Missing: elevation, d2H_precip",Soil
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK32-1)",-27.9267,32.4894,,,,,29,-130.0,,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK31-1)",-27.9225,32.4869,,,,,29,-132.2,,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK26-1)",-27.8995,32.4834,,,,,29,-142.4,2.9,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK25-1)",-27.8948,32.4832,,,,,29,-134.0,,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK08-2)",-27.8896,32.483,,,,,29,-148.5,1.0,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK16-1)",-27.87,32.4845,,,,,29,-153.4,0.3,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK14-1)",-27.8567,32.4785,,,,,29,-157.9,0.3,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK23-1)",-27.8526,32.4749,,,,,29,-133.8,0.4,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK07-5_1)",-27.8412,32.4784,,,,,29,-157.1,,Gap-fill v8,10.5194/bg-19-2881-2022,OK,Surface sediment
